"","sampleSize","contamination","bias_XBar_Q_b_F_C","bias_XBar_Mean","bias_XBar_Median","bias_XBar_Mode","bias_SD_Q_b_F_C","bias_SD_Mean","bias_SD_Median","bias_SD_Mode","MSE_XBar_Q_b_F_C","MSE_XBar_Mean","MSE_XBar_Median","MSE_XBar_Mode","MSE_SD_Q_b_F_C","MSE_SD_Mean","MSE_SD_Median","MSE_SD_Mode","above05_Q_b_F_C","above05_Mean","above05_Median","above05_Mode"
"1",20,0,0.00514715528233827,0.00538985585526174,0.00546265444123797,0.00544154198056698,0.0374522653373425,0.0742397950779498,0.0740976245426463,0.0732102746052692,0.0533979301324001,0.0589528638267211,0.0589098583516741,0.0588130497167215,0.0270760239268457,0.0421863688261945,0.0421083782224042,0.0415997222759155,0.978,0.97,0.964,0.959
"2",50,0,4.90427001949257e-05,0.00144819133241538,0.00145119963863574,0.00171382860849773,0.0202094514598391,0.0537328078282217,0.0536887735523088,0.0531332842178977,0.020968224169381,0.0225999346988459,0.0225882369147019,0.0225710102859233,0.0105882338815041,0.0172853875912216,0.0172736871294096,0.017111719302176,0.968,0.973,0.967,0.964
"3",100,0,0.0027679167376933,0.00352592357093801,0.0035367487185191,0.00360816158689461,0.0107805368190907,0.0391467989787274,0.0391238054377696,0.0387512939882892,0.00988411011369696,0.0102299592651996,0.0102273233956599,0.0102376345086307,0.00510257050392766,0.00851164185946893,0.00850684566982789,0.00844474459115608,0.96,0.97,0.967,0.962
"4",200,0,0.000904419426188105,0.00112919401000436,0.00112799825414733,0.00116254737358079,0.0094250595723746,0.0372402668316031,0.0372292334536426,0.0369251004482821,0.00494043172912776,0.0053474620781952,0.00534369561094723,0.00534123983148297,0.00252606000435451,0.00465340310088985,0.00465221231124799,0.00461503928580218,0.956,0.956,0.952,0.946
"5",20,5,0.110665920673401,0.0205605072352891,0.0203988650796517,0.0202753692562238,0.0952677415079354,0.0778594950179296,0.0772536500420665,0.0724794578191332,0.0599877298673076,0.0579038970687721,0.0578221697173234,0.0579436820815427,0.0470118389431078,0.0497796035309729,0.0496165143025335,0.0489195836886092,0.961,0.97,0.949,0.924
"6",50,5,0.0917755254644437,0.0188366276174857,0.018914314150997,0.0190422105923881,0.0939728106578701,0.0318848031744297,0.0317071303914282,0.0294265131797403,0.0273208746956235,0.0211683060899715,0.0212055003024151,0.0212425500517209,0.0223112218453004,0.0165399916907891,0.0165216083824409,0.0164162958107213,0.926,0.97,0.965,0.958
"7",100,5,0.122379974982548,0.0290514415093307,0.0288017278875437,0.0282046415227861,0.125384681919983,0.0263773337501093,0.0262706714654477,0.0239912260238254,0.025034270019941,0.0119784845475958,0.01192628991592,0.0120095194447325,0.0234977454311826,0.00962950208894471,0.0096214707442537,0.00953328561979462,0.614,0.968,0.96,0.934
"8",200,5,0.120015383055282,0.0270399687694486,0.0267312968986011,0.0262479155072671,0.122616006824382,0.0230679378537261,0.0230157502314762,0.0215091047715959,0.019704689011893,0.00664534959498292,0.00662057283913487,0.00666966167735555,0.0188042740591185,0.00470811465202124,0.00470502747380682,0.00464515582430286,0.137,0.962,0.953,0.916
"9",20,10,0.239858201330525,0.074220276367968,0.073610843601419,0.074171452861453,0.226064812396302,0.0138692923635378,0.0130805115631243,0.00665228861267216,0.111040956817887,0.0684748396934667,0.0684780865309592,0.0688216839780715,0.101240814348319,0.0533697701110375,0.0533278035516696,0.0530012311385098,0.873,0.951,0.939,0.91
"10",50,10,0.245294782442,0.0680453452215643,0.0670359539586709,0.065792482236076,0.250378821361184,0.00546046526427337,0.00507575839320809,0.000681205149310202,0.0808016208203954,0.0294394049190788,0.0292339674422271,0.0293703204517128,0.0808867665187779,0.0209621482845762,0.0209534133695212,0.0209367055534902,0.474,0.938,0.918,0.879
"11",100,10,0.24386777433249,0.067576683019061,0.0661381533498681,0.0651680202211788,0.251944541518839,0.00607177693425508,0.00625165501966885,0.00944252710158103,0.0703166943590104,0.0171653967295144,0.0169200810197733,0.0170058585662686,0.0732621496862827,0.00999656356535421,0.00999961058867355,0.0100618490140072,0.06,0.89,0.873,0.805
"12",200,10,0.24524891398411,0.0636255577981095,0.0620941281449211,0.060631409933579,0.255125099092738,0.00467371699513538,0.00478023984301072,0.00728915717401324,0.0653519407015296,0.0101928910514598,0.00997134517500249,0.00999575720096206,0.0698822707518147,0.00492460859338163,0.00492728873304667,0.00498119337705329,0,0.777,0.752,0.664
"13",20,15,0.353106010260967,0.112740142865309,0.111001720184573,0.107554328880911,0.349973364532509,0.00426160162226301,0.0052627574437105,0.0145038642300605,0.180249022286559,0.0804637582324675,0.0797932937290198,0.0817831243057824,0.183337146183275,0.0644429377886671,0.0644017138967456,0.0646379533037624,0.743,0.937,0.908,0.868
"14",50,15,0.399080368295181,0.140052624496652,0.13581299003764,0.132142259576947,0.401330283932863,0.062483860352894,0.0630306912641847,0.0690495617547246,0.182454216111628,0.0490286412194796,0.0478159642765256,0.0478365048746778,0.188051364745557,0.0355705706560872,0.0356525406825117,0.0364717613162313,0.108,0.785,0.737,0.674
"15",100,15,0.378063761475235,0.120712223118907,0.116645866596078,0.112649493505484,0.387490650734181,0.0482843438543592,0.0486030071078627,0.0530080540321588,0.153610623309151,0.0279517606165605,0.0268628430181443,0.0260978358283001,0.162421157166081,0.0156775233258265,0.015722461652673,0.0162350618138839,0.006,0.666,0.617,0.54
"16",200,15,0.378035185102175,0.11944017707528,0.115350546090498,0.110781064108097,0.391977052123736,0.0551425170692875,0.0553493436439945,0.0587220076674056,0.14891555437379,0.0215387473066418,0.0205341528801327,0.0199212490222527,0.159368769452215,0.00976120104369222,0.00979193007795781,0.0102055153019047,0,0.251,0.217,0.146
"17",20,20,0.489213171438225,0.209457213844107,0.203991285502393,0.204436706845731,0.48699751498322,0.130863553220746,0.132143533056597,0.141791209537748,0.293236811710965,0.118201899657399,0.115145154549969,0.115123185352111,0.306618198555612,0.109494933290514,0.109777932247785,0.111293791864094,0.551,0.839,0.802,0.74
"18",50,20,0.497369127495815,0.189426062883595,0.183068534593652,0.179070301325303,0.514463331992042,0.124851166552102,0.125575743693021,0.13196497019749,0.270951071165029,0.0667232023631985,0.0639103287566817,0.0623182233016896,0.294743990009414,0.0535785941978612,0.0538299183012719,0.055695140333762,0.043,0.631,0.576,0.518
"19",100,20,0.508968903524381,0.192829556511932,0.185714498134893,0.179387748618165,0.525837980838835,0.129202698145566,0.129669807456684,0.135217912033289,0.271041137525473,0.0536913882684069,0.0507509973610098,0.048984319690572,0.290884224833319,0.035306011967202,0.0354669627724623,0.0370749315456399,0,0.256,0.226,0.173
"20",200,20,0.514634360631099,0.197385039594397,0.189688806264451,0.183513917158907,0.531725774149544,0.136648667556001,0.137055345753857,0.140774063394214,0.270800333479788,0.047139105745307,0.0440073802573007,0.0420711293891972,0.290445375994359,0.0281904024653433,0.0283280076364226,0.0293871033661361,0,0.021,0.017,0.01
